"","id","qid1","qid2","question1","question2","is_duplicate"
"392989",392988,525739,59641,"3) Come up with a real-world problem in which only the best solution will do?","How long does it take for HPCL to announce interview result of GAE? Is they announce by website or mail.",0
"394407",394406,527296,259043,"Is it good to have a hot water bath after a workout for building muscles?","Is it okay to take a bath immediately after a heavy workout?",0
"394742",394741,72024,41146,"Is the theory of evolution not actually falsifiable?","What is the theory of evolution?",0
"394849",394848,527775,527776,"How is dsu bangalore?","Has there been any direct entry officer (through IMA or OTA, not ex-NDA) who rose up to the position of Army commander?",0
"395155",395154,528105,240694,"Why as an Indian, I don't feel satisfied on a western toilet (commode) while cleaning? Indian or Western toilet, Which one is more hygienic & why?","How do westerners keep hygienic when they don't use water after using the toilet?",0
"395413",395412,169104,528388,"What is the corporate culture like at West Pharmaceuticals? How is the culture different than other companies?","What is the corporate culture like at Pacira Pharmaceuticals? How is the culture different than other companies?",0
"395795",395794,146943,345483,"Is there any TV show similar to House M.D?","Are there any TV series similar to House MD?",1
"396055",396054,129626,529088,"What are the advantages and disadvantages of dams?","When was the first Dam built?",0
"396187",396186,25339,509612,"How was your tinder experience?","How have your experiences with using Tinder been?",1
"396347",396346,79499,423472,"Quora: which is your personal favorite answer that was written by you?","What’s your favorite answer you have written on Quora? Why is it your favorite?",1
"397745",397744,524378,117031,"What are some things new employees should know going into their first day at South State?","What are some things new employees should know going into their first day at Bear State Financial?",0
"398371",398370,531587,531588,"Hostel friends have seen me studying and have started asking my notes to copy. How to avoid this from happening?","How do I stop my friend from copying me?",0
"398752",398751,531999,532000,"Would you hire a care provider if he/she had a nose piercings?","Would you trust a relationship therapist if he/she has never been in a relationship?",0
"398967",398966,532206,532207,"What could be the best five Bharatanatyam songs to dance?","Which are the best dancing English songs for girls (2015-2016)?",0
"399086",399085,532335,532336,"Is that really worth to doing MS micro electronics in BITS through distance education through wipro?","Is it worth doing part time MBA if you are working in Wipro?",0
"399391",399390,532650,532651,"I need to find out the percentage of sio2 in the rice husk ash. Which spectrometer is best suited for this? Can I use x ray diffractometer?","High demand in future big data or cloud computing?",0
"400165",400164,524757,454529,"In India, are we overestimating the GDP growth rate?","What is the growth rate of real GDP per capita?",0
"400231",400230,533575,533576,"Why would you disable proxy in Google Chrome?","How do I disable proxy in Google Chrome?",0
"400351",400350,53970,162964,"What are the best sites to book a hotel online?","What is the best hotel booking site online?",1
"400910",400909,298938,332631,"Where can I learn Sanskrit?","What is the best way to learn Sanskrit?",1
"401625",401624,405105,535040,"How long does a can of soda last before it goes bad?","Does tapping the top of a soda can have any effect on its contents?",0
"401723",401722,35192,535151,"What are the hardest adjustments to make when visiting Iraq?","What are the hardest adjustments to make when visiting Ukraine?",0
"401880",401879,351042,535326,"What is the difference between 8080 and 8085?","What is the difference between 8080 and 8086?",0
"402777",402776,108879,536302,"What is difference between money market and capital market?","What is the DJIA market capitalization?",0
"403762",403761,537358,537359,"Which colleges are preferred for recruitment in finance profiles at Morgan Stanley India ?","Do BTech graduates get jobs in finance and bank companies like Morgan Stanley? If yes, then how?",0
"403801",403800,537414,537415,"If a seed from a bonsai is planted in a large garden, would it grow into a big tree?","If I plant a small growing tree in a pot, will that tree grow into a bonsai?",0
"404147",404146,243380,537796,"How does Facebook choose who shows up in the chat sidebar?","How are the list of friends' faces displayed in the left header of the current Facebook homepage ordered?",0
